"Suburb","Cat 1","Cat 2C","Cat 2P","Cat 3","Total Final Category","lat","lng"
"Okura",1,0,0,0,1,-36.6748109,174.7196781
"One Tree Hill",4,0,0,4,8,-36.900172,174.7831302
"Onehunga",19,0,3,5,27,-36.9229255,174.7853896
"Orakei",2,0,0,0,2,-36.8559243,174.8143892
"Oratia",5,0,0,3,8,-36.91157,174.6223
"Orere Point",1,0,0,0,1,-36.9589811,175.2431304
"Orewa",2,0,0,0,2,-36.5857596,174.6914965
"Otahuhu",1,0,0,0,1,-36.946796,174.8457832
"Otara",1,0,0,0,1,-36.9640945,174.8769413
"Oteha",2,0,0,0,2,-36.7182331,174.7239574
"Pakuranga",1,0,0,0,1,-36.9152089,174.8744876
"Pakuranga Heights",3,0,0,0,3,-36.9084603,174.8924315
"Papakura",8,0,0,0,8,-37.064265,174.9446665
"Papatoetoe",6,0,0,0,6,-36.9796873,174.852589
"Parakai",1,0,0,0,1,-36.6604127,174.4331289
"Parau",0,0,1,0,1,-36.9672166,174.6140658
"Paremoremo",9,0,2,1,12,-36.7532504,174.6483481
"Parnell",32,0,1,1,34,-36.8554763,174.7805576
"Patumahoe",5,0,0,0,5,-37.1877387,174.8282252
"Penrose",0,0,0,1,1,-36.9111443,174.8147813
"Piha",78,0,16,23,117,-36.9556043,174.4694742
"Pinehill",1,0,0,2,3,-36.73073,174.723
"Pohuehue",1,0,0,0,1,-36.47158,174.6755
"Point Chevalier",18,0,1,0,19,-36.8665285,174.7080874
"Ponsonby",11,0,5,3,19,-36.8477056,174.7435778
"Puhoi",0,0,0,1,1,-36.5120922,174.6611196
"Pukekohe",18,1,0,22,41,-37.2006384,174.9036875
"Punganui",1,0,0,0,1,-36.6396662,174.4749346
"Ranui",17,0,1,49,67,-36.8638686,174.6023787
"Red Beach",3,0,0,0,3,-36.6043568,174.7019115
"Redvale",7,0,1,1,9,-36.6859591,174.7057107
"Remuera",34,0,2,7,43,-36.8759344,174.8014178
"Riverhead",8,0,1,4,13,-36.758443,174.5918546
"Rothesay Bay",2,0,0,1,3,-36.7215205,174.7511465
"Royal Oak",7,0,0,24,31,-36.911995,174.7761848
"Sandringham",26,0,7,17,50,-36.892686,174.7368028
"Schnapper Rock",1,0,0,0,1,-36.7562125,174.6949602
"Shelly Beach",2,0,0,0,2,-36.5702025,174.3761172
"Shelly Park",1,0,0,0,1,-36.9080825,174.9516267
"Snells Beach",2,0,0,0,2,-36.4204774,174.7239757
"St Heliers",1,0,0,0,1,-36.8513775,174.857942
"St Johns",1,0,0,0,1,-36.8765875,174.8417411
"St Lukes",2,0,0,5,7,-36.8839307,174.7319442
"Stanley Point",12,0,2,0,14,-36.8285195,174.7726537
"Stanmore Bay",5,0,0,2,7,-36.6273281,174.7372035
"Stillwater",1,0,0,0,1,-36.6373286,174.7164711
"Sunnynook",5,0,0,9,14,-36.75539,174.7368
"Sunnyvale",7,0,0,8,15,-36.899752,174.6350989
"Swanson",31,0,2,45,78,-36.86559,174.5803773
"Tahekeroa",1,0,1,1,3,-36.53194,174.57344
"Takapuna",3,0,0,0,3,-36.7878213,174.7729913
"Tapora",1,0,0,0,1,-36.3523611,174.3022535
"Taupaki",2,0,1,4,7,-36.8209613,174.5504354
"Te Arai Point",1,0,0,0,1,-36.163526,174.6525797
"Te Atatu Peninsula",10,0,0,1,11,-36.8411219,174.6518628
"Te Atatu South",18,0,1,7,26,-36.8649385,174.6471226
"Te Henga / Bethells Beach",5,0,1,0,6,-36.8957959,174.4445785
"Te Papapa",5,0,0,0,5,-36.9196693,174.7982403
"Three Kings",8,0,3,8,19,-36.9090049,174.7583572
"Titirangi",69,0,6,28,103,-36.9377516,174.657172
"Torbay",20,0,1,5,26,-36.6955752,174.7519995
"Totara Vale",7,0,0,13,20,-36.7619785,174.72969
"Unsworth Heights",1,0,0,0,1,-36.7567911,174.7118528
"Wade Heads",8,0,0,1,9,-36.6425106,174.7340727
"Waiake",0,0,0,3,3,-36.70746,174.7493
"Waiatarua",15,0,0,9,24,-36.93233,174.5786
"Waiheke Island",2,0,0,0,2,-36.7931083,175.0883863
"Waikowhai",10,0,2,2,14,-36.9307192,174.7378357
"Waimauku",4,0,0,6,10,-36.7692576,174.4920607
"Waioneke",1,0,0,0,1,-36.5413166,174.2978908
"Wairau Valley",1,0,0,0,1,-36.776939,174.7439064
"Waitakere",12,0,0,3,15,-36.848987,174.5442266
"Waitoki",0,0,0,1,1,-36.6342164,174.5522266
"Waiuku",18,0,0,3,21,-37.2491946,174.7303353
"Waiwera",3,0,0,6,9,-36.54639,174.6955
"Warkworth",3,0,0,0,3,-36.3976688,174.665849
"Waterview",7,0,2,0,9,-36.8774512,174.6989499
"Wellsford",1,0,0,0,1,-36.2957426,174.523259
"West Harbour",3,0,0,1,4,-36.8194969,174.6320913
"Western Springs",1,0,0,0,1,-36.86204,174.7182
"Westmere",3,0,0,1,4,-36.8534456,174.719552
"Weymouth",1,0,0,0,1,-37.0443546,174.8662689
"Whangaripo",2,0,0,0,2,-36.2896355,174.6333932
"Whenuapai",5,0,0,0,5,-36.7906058,174.6174114
"Windsor Park",0,0,0,0,0,-36.741093,174.7369048
"Woodcocks",2,0,0,0,2,-36.4493847,174.5650292
